X,Y,Depth
408456.8744,4700281.899,59
412763.0521,4702080.782,27
408406.791,4696287.545,30
419230.3981,4696080.038,64
418583.8615,4699641.261,25
418007.9681,4699629.491,25
414278.2914,4698437.254,3
416269.4388,4702309.284,35
415747.7954,4702611.713,20
415972.9298,4702531.876,117
418560.855,4699431.76,12
409620.7712,4716706.626,64
414396.3762,4715831.679,8
413461.8094,4714735.755,109
417219.6154,4719758.523,15
414188.0135,4714464.526,110
419313.8679,4713536.259,8
419414.1719,4716089.394,28
415924.8158,4716682.965,95
423366.482,4718151.626,26
427461.0514,4720106.599,37
425087.6448,4713789.371,28
420395.621,4726125.669,152
418180.3127,4723560.124,75
419807.1955,4726021.401,7
421181.0116,4724339.76,24
417219.4795,4728131.141,7
412523.0282,4731193.772,84
415675.6565,4733449.857,45
415424.6008,4725931.642,92
417983.247,4730176.648,31
408920.9274,4706072.485,25
409321.7412,4705999.387,19
409703.5982,4707280.863,1
409799.7068,4707828.744,75
421450.5548,4703439.755,65
427035.4463,4698597.712,35
426805.1489,4700605.208,85
425192.4083,4704012.479,58
426991.0093,4698718.481,61
424832.134,4697269.956,165
421439.2027,4701012.132,50
428300.5765,4704525.821,30
428385.1255,4702310.101,54
519299.8942,4673839.944,87
510382.3538,4666937.112,26
510511.1081,4666776.923,45
522328.4223,4668815.367,106
518340.1137,4669988.215,36
519185.7535,4676180.602,68
521715.3156,4657784.237,17
515168.5569,4656712.377,34
516702.0191,4672982.041,8
520454.4041,4664701.465,140
514602.3418,4663792.509,10
518607.4805,4655560.929,48
513786.224,4661980.436,120
519573.0404,4661324.824,8
512736.0307,4661080.962,203
513635.1645,4671214.324,70
518866.3345,4653307.078,13
525238.2648,4657721.908,10
523057.7902,4656224.793,120
520073.4135,4664669.529,38
515188.9852,4666446.179,15
520591.4414,4664942.434,41
516757.343,4661268.238,19
521013.5972,4671180.038,24
512179.6978,4670678.082,1
516387.4891,4678070.361,56
514592.6654,4681730.548,5
525093.0663,4681038.493,52
521610.1815,4683025.552,116
518343.6559,4681813.37,77
524651.2645,4677705.863,11
523993.9871,4676926.343,14
522075.5921,4679921.089,11
507287.5074,4661520.45,2
505723.1666,4656217.303,34
500137.91,4663783.578,15
494773.9088,4656642.535,78
504090.9904,4644798.689,236
499609.6356,4660014.704,88
505814.7514,4662231.534,158
508484.2607,4653703.397,15
501875.9941,4663564.848,48
508885.8904,4648784.675,79
502306.574,4659808.429,33
510588.3885,4656549.832,69
509463.6268,4664079.835,28
501391.73,4650891.879,79
498509.7067,4651061.527,87
512876.4694,4652056.91,64
497850.3661,4661193.179,4
500425.146,4697630.528,13
517739.8549,4703149.446,139
508427.2129,4701133.286,20
512051.7946,4704950.927,17
508926.0859,4703909.863,90
515152.2239,4702495.617,42
510873.7691,4700717.192,27
514337.573,4705584.476,17
505458.5046,4695060.29,73
511028.211,4676560.95,26
506841.1473,4683587.799,2
503037.1692,4680920.293,24
513927.7385,4677509.885,21
510029.2007,4682832.893,116
507850.7305,4675461.771,95
506839.1344,4683304.042,20
499422.9184,4680123.915,71
511768.5768,4686055.617,10
512139.3969,4678080.246,48
500281.7496,4683877.479,3
503775.9657,4678499.491,60
503475.7231,4678705.982,16
509826.836,4678542.358,25
470601.4889,4662947.267,67
470794.5968,4656327.685,20
468006.6796,4655837.01,30
470181.2762,4653683.982,188
466692.5419,4658418.417,120
470419.5512,4663916.484,10
466221.4384,4659367.519,160
468292.387,4658552.939,30
537631.4339,4667177.907,21
539651.5598,4667892.202,32
497887.8949,4694281.221,19
484034.5944,4688210.615,6
483596.4029,4683791.784,45
489920.9482,4679791.851,19
490458.5155,4679235.929,13
489228.3002,4680733.588,10
483995.1021,4688950.947,13
491818.9836,4688764.716,67
496334.3078,4691616.989,44
486671.6277,4686468.625,40
483549.1939,4680254.192,95
496237.0387,4685084.445,41
491345.954,4689206.344,32
487419.0765,4680853.8,108
492399.1443,4683674.942,48
493785.8874,4693234.984,76
496526.2597,4686712.812,75
489417.6933,4687848.802,120
500055.2363,4666343.47,17
505342.0451,4667819.75,150
502325.4015,4665418.589,15
509342.5245,4672302.23,2
502488.058,4672817.709,110
496268.1131,4674631.799,1
504236.0808,4675369.222,45
504890.4505,4667174.82,80
497364.3918,4675985.292,15
501478.2064,4677252.587,20
500348.7304,4671996.869,68
504046.2286,4670687.221,35
504665.3665,4670928.174,3
507914.4971,4669709.717,37
496431.9087,4644829.249,20
490714.5415,4654407.591,91
493378.2401,4638712.588,41
482130.2812,4635274.675,90
477595.1643,4641622.264,105
496692.3239,4645427.441,96
489742.6545,4648456.524,160
